Year,Fishmeal,Malnourishment,Norway
2007,15.77,13.7,2.5
2008,15.39,11.6,2.5
2009,10.9,9.8,2.5
2010,13.03,8.8,2.5
2011,13.47,7.7,2.5
2012,8.64,6.7,2.5
2013,8.68,5.6,2.5
2014,7.14,5.4,2.5
2015,6.44,5.9,2.5
2016,9.78,6.9,2.5
2017,10.03,7.6,2.5
2018,10.67,7.9,2.5
2019,11,8.7,2.5
