Year,propIHC,propDHC
2013,0.978403624,0.021596376
2014,0.974897814,0.025102186
2015,0.977951787,0.022048213
2016,0.972763327,0.027236673
2017,0.973151576,0.026848424
2018,0.981726892,0.018273108
2019,0.969838785,0.030161215
