Year,Fishmeal,Ancash,Peru
2007,1577,624,811
2008,1539,734,893
2009,1090,771,964
2010,1303,870,987
2011,1347,941,1069
2012,864,974,1156
2013,868,1009,1185
2014,714,1049,1240
2015,644,1014,1305
2016,978,1095,1371
2017,1003,1090,1377
2018,1067,1117,1400
2019,1100,1231,1443
